STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,TERRITORIAL_LEVEL,Niveau territorial,REF_AREA,Zone de référence,TERRITORIAL_TYPE,Typologie territoriale,MEASURE,Mesure,AGE,Âge,SEX,Sexe,UNIT_MEASURE,Unité de mesure,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,COUNTRY,Pays,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NZ17,Taranaki,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,7.1,,NZL,Nouvelle-Zélande,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),SE11,Stockholm,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,9.2,,SWE,Suède,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),DEB,Rhénanie-Palatinat,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,17.8,,DEU,Allemagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CR05,Huetar Caribbean,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,18.5,,CRI,Costa Rica,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),HU23,Transdanubie du Sud,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,24.5,,HUN,Hongrie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),AT12,Basse-Autriche,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,23.5,,AUT,Autriche,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),PL43,Lubusz,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,23.3,,POL,Pologne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),TRB2,Anatolie orientale - Est,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,25.9,,TUR,Türkiye,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ITG1,Sicile,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,14.7,,ITA,Italie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),LV00,Lettonie,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,28.4,,LVA,Lettonie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),IL04,District centre,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,28.8,,ISR,Israël,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ITI4,Latium,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22.6,,ITA,Italie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),EE00,Estonie,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,11.9,,EST,Estonie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),JPD,Sud-Kanto,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,14.3,,JPN,Japon,A,Normal value,0,Units,1,One
